Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Эскимо пломбир с карамелью и ирисо-сливочн. вкус. в бел. шок.,172.0,80.0,4.8,2968.0,https://vkusvill.ru/goods/eskimo-plombir-s-karamelyu-i-iriso-slivochn-vkus-v-bel-shok-89569.html,215.0
"Мороженое ""Пломбир безлактозный""",146.0,60.0,5.0,3704.0,https://vkusvill.ru/goods/morozhenoe-plombir-bezlaktoznyy-107683.html,243.33
"Эскимо на растительной основе ""Кокос""",90.0,50.0,4.8,3642.0,https://vkusvill.ru/goods/eskimo-na-rastitelnoy-osnove-kokos-31934.html,180.0
"Мороженое сливочное ""Пралине""",150.0,75.0,4.4,5161.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-praline-88436.html,200.0
"Мороженое-торт ""Карелия"" с клюквой и морошкой, 400&nbsp;г",549.0,400.0,4.8,679.0,https://vkusvill.ru/goods/morozhenoe-tort-kareliya-s-klyukvoy-i-moroshkoy-400-g-116426.html,137.25
"Мороженое сливочное ""Мятное с Брауни""",425.0,330.0,4.9,3363.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-myatnoe-s-brauni-73187.html,128.79
Эскимо Пломбир черничный в белом шоколаде,157.0,80.0,4.8,1753.0,https://vkusvill.ru/goods/eskimo-plombir-chernichnyy-v-belom-shokolade-107111.html,196.25
"Мороженое йогуртное с пробиотиками ""Черная смородина""",136.0,75.0,5.0,2763.0,https://vkusvill.ru/goods/morozhenoe-yogurtnoe-s-probiotikami-chernaya-smorodina-104639.html,181.33
"Мороженое ""Джелато с кленовым сиропом и пеканом""",527.0,330.0,4.9,2215.0,https://vkusvill.ru/goods/morozhenoe-dzhelato-s-klenovym-siropom-i-pekanom-73584.html,159.7
Сорбет из пюре клюквы и яблока,149.0,75.0,4.9,2071.0,https://vkusvill.ru/goods/sorbet-iz-pyure-klyukvy-i-yabloka-88665.html,198.67
"Мороженое сливочное ""Банан-клубника""",149.0,75.0,4.9,5227.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-banan-klubnika-88653.html,198.67
Пломбир с малиной и малиновым соком,142.0,70.0,4.8,4083.0,https://vkusvill.ru/goods/plombir-s-malinoy-i-malinovym-sokom-89868.html,202.86
Пломбир с бананом и банановым соком,142.0,70.0,4.9,2355.0,https://vkusvill.ru/goods/plombir-s-bananom-i-bananovym-sokom-106042.html,202.86
"Пломбир ""Манго-маракуйя"" в ваф. рожке",146.0,130.0,4.8,2992.0,https://vkusvill.ru/goods/plombir-mango-marakuyya-v-vaf-rozhke-106617.html,112.31
"Пломбир с прослойками шоколада ""Суфле"" (рулет), 380&nbsp;г",447.0,380.0,4.7,2081.0,https://vkusvill.ru/goods/plombir-s-prosloykami-shokolada-sufle-rulet-380-g-114339.html,117.63
"Мороженое ""Фисташковое""",170.0,85.0,4.9,3554.0,https://vkusvill.ru/goods/morozhenoe-fistashkovoe-22577.html,200.0
"Сорбет ""Зеленый чай-Ананас-Имбирь"", 75&nbsp;г",120.0,75.0,4.8,2023.0,https://vkusvill.ru/goods/sorbet-zelenyy-chay-ananas-imbir-75-g-106692.html,160.0
