,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽",Необычный вкус,ПП,Вафельный стаканчик,Рожок,Сорбет/лёд,Эскимо,Пломбир,Большая порция,Стаканчик (не вафельный),Топ-ниши,score,Премия по цене,Относит. популярность,Главная ниша,Вторая ниша
50,Сорбет из пюре клюквы и яблока,149.0,75.0,4.9,2071.0,https://vkusvill.ru/goods/sorbet-iz-pyure-klyukvy-i-yabloka-88665.html,198.67,True,False,False,False,True,False,False,False,True,"['Необычный вкус', 'Сорбет/лёд']",1.06952045695601,1.1296263069729462,0.94660010049543,Необычный вкус,Сорбет/лёд
51,"Эскимо пломбир ванильный в молочном шоколаде, 70&nbsp;г",116.0,70.0,4.9,11381.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-v-molochnom-shokolade-70-g-106470.html,165.71,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.066215857696371,0.9317277356609985,1.1460344952701078,Эскимо,Пломбир
52,"Мороженое с протеином ""Солёная карамель с арахисом""",158.0,75.0,4.8,3885.0,https://vkusvill.ru/goods/morozhenoe-s-proteinom-solyenaya-karamel-s-arakhisom-74620.html,210.67,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",1.0586947245446041,1.0512784787374267,1.006406971742091,ПП,Стаканчик (не вафельный)
53,"Пломбир в рожке ""Клубника""",139.0,100.0,4.9,11089.0,https://vkusvill.ru/goods/plombir-v-rozhke-klubnika-27166.html,139.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",1.0549778073289426,1.0115457657774045,1.043060620461233,Рожок,Пломбир
54,"Мороженое ""Шоколадное"" без доб. сахара",157.0,80.0,4.9,6615.0,https://vkusvill.ru/goods/morozhenoe-shokoladnoe-bez-dob-sakhara-69112.html,196.25,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",1.0497224432815726,0.9793202708132152,1.0711995956462455,ПП,Стаканчик (не вафельный)
55,"Мороженое ""Джиандуйя"" фундучно-шоколад.",148.0,85.0,5.0,5339.0,https://vkusvill.ru/goods/morozhenoe-dzhianduyya-funduchno-shokolad-22578.html,174.12,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",1.0442595481220367,0.9836852897201964,1.06171080249549,Необычный вкус,Стаканчик (не вафельный)
56,"Мороженое ""Клубника со сливками"", 330&nbsp;г",413.0,330.0,4.7,3262.0,https://vkusvill.ru/goods/morozhenoe-klubnika-so-slivkami-330-g-99300.html,125.15,False,False,False,False,False,False,False,True,False,['Большая порция'],1.0436039511179853,0.949400697921408,1.0992239139941895,Большая порция,
57,"Сорбет ""Манго-Маракуйя""",119.0,75.0,4.9,5177.0,https://vkusvill.ru/goods/sorbet-mango-marakuyya-20148.html,158.67,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",1.0359511063673177,0.9239013046190934,1.1211528782548565,Сорбет/лёд,Стаканчик (не вафельный)
58,"Мороженое протеин. ""Мятная тыква"" без сахара",152.0,75.0,4.7,4444.0,https://vkusvill.ru/goods/morozhenoe-protein-myatnaya-tykva-bez-sakhara-31138.html,202.67,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",1.0350534762796275,1.0113571428571428,1.022772173473897,ПП,Стаканчик (не вафельный)
59,"Лед фруктово-ягодный ""Манго-малина""",134.0,80.0,4.8,5759.0,https://vkusvill.ru/goods/led-fruktovo-yagodnyy-mango-malina-46797.html,167.5,True,False,False,False,True,False,False,False,True,"['Необычный вкус', 'Сорбет/лёд']",1.0224514419332325,0.9523954619115542,1.0733407614595911,Необычный вкус,Сорбет/лёд
