Ниша,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Сэндвичи и брикет,"Мороженое сливочное Oreo с печеньем 8%, 76г","Цена119,99 ₽",76 гр,4.91,6572 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-oreo-s-pecenem-8-76g-4020809,
Сэндвичи и брикет,"Мороженое молочное Maxiduo Страчателла ваниль и кусочки тёмного шоколада 6%, 92г","Цена125,99 ₽",140 мл,4.9,8692 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-maxiduo-stracatella-vanil-i-kusocki-temnogo-sokolada-6-92g-4236165,
Сэндвичи и брикет,"Мороженое Вологодский Пломбир ванильное 15%, 250г","Цена209,99 ₽",250 гр,4.91,5543 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-vologodskij-plombir-vanilnoe-15-250g-3603592,
Сэндвичи и брикет,"Пломбир 48 копеек 12%, 210г","Цена179,99 ₽",210 гр,4.91,5989 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-48-kopeek-12-210g-4048085,
Сэндвичи и брикет,"Мороженое сливочное 48 Копеек шоколадное с шоколадным соусом 8%, 232г","Цена179,99 ₽",232 гр,4.91,4951 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnoe-s-sokoladnym-sousom-8-232g-4048583,
Сэндвичи и брикет,"Мороженое Коровка Из Кореновки пломбир фисташковый в печенье Макаронс 15%, 70г","Цена199,99 ₽",70 гр,4.7,520 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-fistaskovyj-v-pecene-makarons-15-70g-4431814,
Сэндвичи и брикет,"Пломбир Чистая Линия ванильный 12%, 200г","Цена269,99 ₽",200 гр,4.91,3822 оценки,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-12-200g-3693306,
Сэндвичи и брикет,"Мороженое Maxi Duo Карамельный сэндвич в сахарном печенье 6%, 94г","Цена138,99 ₽",94 гр,4.84,2396 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-maxi-duo-karamelnyj-sendvic-v-saharnom-pecene-6-94g-4343388,
Сэндвичи и брикет,"Пломбир Чистая Линия шоколадный 12%, 200г","Цена279,99 ₽",200 гр,4.9,1226 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-sokoladnyj-12-200g-3693343,
Сэндвичи и брикет,"Мороженое Lotte Сэндвич-вафля Ракушка, 124г","Цена209,99 ₽",90 мл,4.68,2894 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-lotte-sendvic-vafla-rakuska-124g-4151686,
Сэндвичи и брикет,"Пломбир Чистая Линия ванильный в шоколадной глазури 12%, 80г","Цена189,99 ₽",80 гр,4.87,1654 оценки,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-12-80g-3953742,
Сэндвичи и брикет,"Мороженое Binggrae Сэндвич рыбка шоколадный 8.96%, 90г","Цена269,99 ₽",90 гр,4.65,57 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-binggrae-sendvic-rybka-sokoladnyj-8-96-90g-4431838,
Сэндвичи и брикет,"Мороженое Binggrae Сэндвич рыбка со сливочным кремом в вафле, 90г","Цена339,99 ₽",150 мл,4.62,108 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-sendvic-rybka-so-slivocnym-kremom-v-vafle-90g-4408951,
Сэндвичи и брикет,"Мороженое Пломбир ванильный в вафлях 12% Молочный Знак, 80г","Цена51,99 ₽",80 гр,4.82,906 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-plombir-vanilnyj-v-vaflah-12-molocnyj-znak-80g-4403232,
Сэндвичи и брикет,"Мороженое Seoju Сэндвич Сладкая Кукуруза, 80г","Цена209,99 ₽",80 гр,4.64,219 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-seoju-sendvic-sladkaa-kukuruza-80g-4360086,
Большие порции,"Пломбир Коровка Из Кореновки Полено, 400г","Цена349,99 ₽",400 гр,4.93,6356 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-poleno-400g-3409349,
Большие порции,"Пломбир Коровка Из Кореновки с шоколадной стружкой, 400г","Цена389,99 ₽",400 гр,4.93,4661 оценка,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-s-sokoladnoj-struzkoj-400g-3409352,
Большие порции,"Мороженое Коровка Из Кореновки Крем-брюле Солёная карамель-Грецкий орех 15%, 300г","Цена399,99 ₽",300 гр,4.85,383 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-krem-brule-solenaa-karamel-greckij-oreh-15-300g-4428746,
Большие порции,"Мороженое Коровка Из Кореновки пломбир шоколадный с вишней и крошкой шоколадного печенья 15%, 300г","Цена399,99 ₽",300 гр,4.89,686 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-sokoladnyj-s-visnej-i-kroskoj-sokoladnogo-pecena-15-300g-4428363,
Большие порции,"Мороженое Bahroma Медовик пломбир с грецким орехом, печеньем и фундучным пралине 12%, 320г","Цена479,99 ₽",320 гр,4.74,799 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-bahroma-medovik-plombir-s-greckim-orehom-pecenem-i-funducnym-praline-12-320g-4385162,
Большие порции,"Мороженое Bahroma Чизкейк Гранат-Малина пломбир с печеньем и наполнителем с кусочками сушёной малины 12%, 320г","Цена479,99 ₽",320 гр,4.83,834 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-bahroma-cizkejk-granat-malina-plombir-s-pecenem-i-napolnitelem-s-kusockami-susenoj-maliny-12-320g-4385164,
Большие порции,"Мороженое Магнат Double Соленая карамель 10%, 310г","Цена599,99 ₽",440 мл,4.85,1737 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-magnat-double-solenaa-karamel-10-310g-4208864,
Большие порции,"Пломбир Филевское Пралине с грецким орехом и мягкой карамелью 12%, 550г","Цена585,99 ₽",550 гр,4.93,2761 оценка,https://www.perekrestok.ru/cat/1601/p/plombir-filevskoe-praline-s-greckim-orehom-i-magkoj-karamelu-12-550g-3956289,
Большие порции,"Мороженое Эkzo молочное сок карамболы-ната де коко-драгонфрут 2%, 520г","Цена479,99 ₽",850 мл,4.89,3338 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-ekzo-molocnoe-sok-karamboly-nata-de-koko-dragonfrut-2-520g-4121462,
Большие порции,"Мороженое сливочное 48 копеек Шоколадная Прага с кусочками шоколада и бисквита 8%, 432г","Цена503,99 ₽",432 гр,4.89,2680 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnaa-praga-s-kusockami-sokolada-i-biskvita-8-432g-4051008,
Большие порции,"Мороженое молочное Эkzo ванильное с добавлением сока арбуза и дыни 2%, 520г","Цена478,99 ₽",520 гр,4.88,2364 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-vanilnoe-s-dobavleniem-soka-arbuza-i-dyni-2-520g-3940513,
Большие порции,"Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г","Цена399,99 ₽",300 гр,4.88,1720 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650,
