Ниша,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Фруктовое,"Мороженое сливочное Milka Лесные ягоды 8%, 64г","Цена161,99 ₽",64 гр,4.89,2986 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-milka-lesnye-agody-8-64g-4212277,
Фруктовое,"Десерт сорбет Манго-груша замороженный Зелёная Линия, 75г","Цена149,99 ₽",130 мл,4.68,2258 оценок,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-mango-grusa-zamorozennyj-zelenaa-linia-75g-4096149,
Фруктовое,"Мороженое Банановое протеиновое 0.7%  Зелёная Линия, 75г","Цена134,99 ₽",75 гр,4.5,10 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-bananovoe-proteinovoe-0-7-zelenaa-linia-75g-4430486,
Фруктовое,"Мороженое Lotte Крутой бар со вкусом клубники и яблока, 80г","Цена175,99 ₽",80 гр,4.89,471 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-lotte-krutoj-bar-so-vkusom-klubniki-i-abloka-80g-4248452,
Фруктовое,"Мороженое Мятное с тыквой протеиновое 0.6% Зелёная Линия, 75г","Цена164,99 ₽",75 гр,5,9 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-matnoe-s-tykvoj-proteinovoe-0-6-zelenaa-linia-75g-4430485,
Фруктовое,"Мороженое Aice Моти Банан, 45мл","Цена99,99 ₽",45 мл,4.67,89 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-banan-45ml-4389054,
Фруктовое,"Эскимо Чистая Линия Малиновый кактус пломбир ванильный в глазури 12%, 80г","Цена215,99 ₽",80 гр,4.87,3026 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-cistaa-linia-malinovyj-kaktus-plombir-vanilnyj-v-glazuri-12-80g-4085329,
Фруктовое,"Сорбет Смородина-Яблоко взбитый Зелёная Линия, 300г","Цена419,99 ₽",300 гр,4.57,7 оценок,https://www.perekrestok.ru/cat/421/p/sorbet-smorodina-abloko-vzbityj-zelenaa-linia-300g-4430488,
Фруктовое,"Мороженое Minimelts сорбет вишнёвый, 72г","Цена379,99 ₽",72 гр,4.73,78 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-minimelts-sorbet-visnevyj-72g-4439687,
Фруктовое,"Мороженое Minimelts сорбет манго, 72г","Цена379,99 ₽",72 гр,4.83,60 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-minimelts-sorbet-mango-72g-4439688,
Ореховое,"Пломбир Коровка из Кореновки фисташковый в вафельном стаканчике 15%, 80г","Цена109,99 ₽",80 гр,4.88,6653 оценки,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-fistaskovyj-v-vafelnom-stakancike-15-80g-4066639,
Ореховое,"Мороженое Свитлогорье пломбир с ароматом ванили в какао-молочной глазури с миндалем 15%, 80г","Цена129,99 ₽",80 гр,4.87,1571 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-svitlogore-plombir-s-aromatom-vanili-v-kakao-molocnoj-glazuri-s-mindalem-15-80g-4345012,
Ореховое,"Мороженое Snickers арахис с карамелью рожок, 6%, 69г","Цена183,99 ₽",69 гр,4.9,1905 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-snickers-arahis-s-karamelu-rozok-6-69g-4346919,
Ореховое,"Мороженое Snickers сливочное с пастой из арахиса, арахисом в шоколаде, карамелью 8.5%, 288г","Цена959,99 ₽",288 гр,4.86,226 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-snickers-slivocnoe-s-pastoj-iz-arahisa-arahisom-v-sokolade-karamelu-8-5-288g-4442643,
Для большой компании,"Пломбир Коровка Из Кореновки с шоколадной стружкой, 400г","Цена389,99 ₽",400 гр,4.93,4661 оценка,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-s-sokoladnoj-struzkoj-400g-3409352,
Для большой компании,"Мороженое Магнат Double Соленая карамель 10%, 310г","Цена599,99 ₽",440 мл,4.85,1737 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-magnat-double-solenaa-karamel-10-310g-4208864,
Для большой компании,"Мороженое Эkzo молочное сок карамболы-ната де коко-драгонфрут 2%, 520г","Цена479,99 ₽",850 мл,4.89,3338 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-ekzo-molocnoe-sok-karamboly-nata-de-koko-dragonfrut-2-520g-4121462,
