,Название,"Цена, ₽","Вес, г","Цена за 100 г, ₽",Рейтинг,Кол-во отзывов,Ссылка,Большие порции,Стаканчики и рожки,Сэндвичи и брикет,Фруктовое,Шоколадное,Эскимо и батончики,ПП,Ценовая премия,Относительная популярность,Score
21,"Эскимо Alpen Gold сливочное с какао в молочном шоколаде двухслойное, 58г",164.99,58.0,284.47,4.89,2560,https://www.perekrestok.ru/cat/1601/p/eskimo-alpen-gold-slivocnoe-s-kakao-v-molocnom-sokolade-dvuhslojnoe-58g-4020807,False,False,False,False,False,True,False,1.279,1.142,1.428
22,"Мороженое пломбир Monterra Maple Walnut с кленовым сиропом и кусочками карамелизованных грецких орехов 12%, 298г",589.99,298.0,197.98,4.84,1353,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-monterra-maple-walnut-s-klenovym-siropom-i-kusockami-karamelizovannyh-greckih-orehov-12-298g-4252324,True,False,False,False,False,False,False,1.237,1.171,1.402
23,"Эскимо Чистая Линия Малиновый кактус пломбир ванильный в глазури 12%, 80г",215.99,80.0,269.99,4.87,3026,https://www.perekrestok.ru/cat/1601/p/eskimo-cistaa-linia-malinovyj-kaktus-plombir-vanilnyj-v-glazuri-12-80g-4085329,False,False,False,False,False,True,False,1.213,1.167,1.379
24,"Мороженое Айскро Протеин банан без сахара 2%, 75г",189.99,75.0,253.32,4.55,211,https://www.perekrestok.ru/cat/421/p/morozenoe-ajskro-protein-banan-bez-sahara-2-75g-4405834,False,True,False,False,False,False,True,1.439,1.022,1.338
25,"Мороженое Чистая линия пломбир без сахарозы с ароматом ванили 12%, 80г",139.99,80.0,174.99,4.92,1264,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombir-bez-saharozy-s-aromatom-vanili-12-80g-4347653,False,True,False,False,False,False,True,0.994,1.363,1.333
26,"Мороженое Bounty молочное с мякотью кокоса и кокосовым молоком в глазури 6%, 60г",170.99,60.0,284.98,4.86,1406,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-i-kokosovym-molokom-v-glazuri-6-60g-4395609,False,False,False,False,False,True,False,1.281,1.055,1.314
27,"Мороженое сливочное Milka Лесные ягоды 8%, 64г",161.99,64.0,253.11,4.89,2986,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-milka-lesnye-agody-8-64g-4212277,False,False,False,False,False,True,False,1.138,1.165,1.297
28,"Пломбир Чистая Линия Московская лакомка 12%, 80г",179.99,75.0,239.99,4.91,3816,https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-moskovskaa-lakomka-12-80g-3334700,False,False,False,False,False,True,False,1.079,1.2,1.271
29,"Лёд сладкий Paleta Маракуйя, манго и семена чиа, 70г",249.99,70.0,357.13,4.89,248,https://www.perekrestok.ru/cat/1601/p/led-sladkij-paleta-marakuja-mango-i-semena-cia-70g-4070258,False,False,False,False,False,True,False,1.605,0.803,1.26
30,"Эскимо Чистая Линия Российское пломбир, 80г",179.99,80.0,224.99,4.92,5116,https://www.perekrestok.ru/cat/321/p/eskimo-cistaa-linia-rossijskoe-plombir-80g-2128085,False,False,False,False,False,True,False,1.011,1.243,1.237
31,"Мороженое Amore кисломолочное греческий йогурт-лесные ягоды, 300мл",739.99,300.0,246.66,4.7,325,https://www.perekrestok.ru/cat/321/p/morozenoe-amore-kislomolocnoe-greceskij-jogurt-lesnye-agody-300ml-4389421,False,True,False,False,False,False,False,1.76,0.73,1.208
32,"Десерт замороженный Итальянское мороженое Груви Арахис, 240г",1078.99,240.0,449.58,4.63,83,https://www.perekrestok.ru/cat/321/p/desert-zamorozennyj-italanskoe-morozenoe-gruvi-arahis-240g-4375384,False,False,False,False,False,True,False,2.021,0.645,1.207
33,"Мороженое Доброе пломбир с пастой фундука, 120г",399.99,120.0,333.32,4.68,44,https://www.perekrestok.ru/cat/421/p/morozenoe-dobroe-plombir-s-pastoj-funduka-120g-4429702,True,False,False,False,False,False,False,2.083,0.618,1.205
34,"Десерт Monterra малиновый с кусочками клубники взбитый замороженный, 306г",589.99,306.0,192.81,4.83,547,https://www.perekrestok.ru/cat/1601/p/desert-monterra-malinovyj-s-kusockami-klubniki-vzbityj-zamorozennyj-306g-4252326,True,False,False,False,False,False,False,1.205,1.024,1.192
35,"Мороженое сливочное Oreo с печеньем 8%, 76г",119.99,76.0,157.88,4.91,6572,https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-oreo-s-pecenem-8-76g-4020809,False,False,True,False,False,False,False,1.068,1.13,1.185
36,"Пломбир Чистая Линия ванильный в сахарном вафельном рожке 12%, 110г",179.99,110.0,163.63,4.87,3507,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-saharnom-vafelnom-rozke-12-110g-4069595,False,True,False,False,False,False,False,1.167,1.03,1.171
37,"Мороженое Чистая Линия безлактозное Пломбир с ароматом ванили в вафельном стаканчике 12%, 80г",139.99,80.0,174.99,4.96,492,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-bezlaktoznoe-plombir-s-aromatom-vanili-v-vafelnom-stakancike-12-80g-4397369,False,True,False,False,False,False,True,0.994,1.184,1.167
38,"Мороженое сливочное Mars с карамелью и глазурью 8.5%, 300г",798.99,460.0,173.69,4.87,808,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-mars-s-karamelu-i-glazuru-8-5-300g-4078153,True,False,False,False,False,False,False,1.086,1.088,1.151
39,"Мороженое Чистая Линия Эскимо пломбир малина-ваниль с рисовыми шариками в глазури, 12%, 70г",159.99,70.0,228.56,4.83,2857,https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-eskimo-plombir-malina-vanil-s-risovymi-sarikami-v-glazuri-12-70g-4425166,False,False,False,False,False,True,False,1.027,1.158,1.149
40,"Десерт замороженный Итальянское мороженое Стекоблоко, 65г",249.99,65.0,384.6,4.71,125,https://www.perekrestok.ru/cat/1601/p/desert-zamorozennyj-italanskoe-morozenoe-stekobloko-65g-4375391,False,False,False,False,False,True,False,1.729,0.704,1.147
